16:19:32.576 [main] INFO  TestCases.TC_001_Registration - ******Launched the Application******
16:19:32.610 [main] INFO  TestCases.TC_001_Registration - ******Maximized the broser******
16:19:32.635 [main] INFO  TestCases.TC_001_Registration - ******Waiting for elements to load******
16:19:33.482 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
16:19:36.570 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
16:19:36.643 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
16:19:36.712 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
16:19:36.770 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
16:19:36.817 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
16:19:36.869 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
16:19:36.928 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
16:19:36.982 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
16:19:37.043 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
16:19:37.106 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
16:19:37.173 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
16:19:37.736 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
16:19:49.060 [main] INFO  TestCases.TC_001_Registration - ******Closed browser*******
16:59:53.709 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
16:59:53.798 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
16:59:53.808 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
16:59:55.800 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
16:59:58.891 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
16:59:58.954 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
16:59:59.015 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
16:59:59.074 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
16:59:59.121 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
16:59:59.175 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
16:59:59.234 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
16:59:59.288 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
16:59:59.354 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
16:59:59.421 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
16:59:59.483 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
17:00:03.520 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
17:00:14.891 [main] INFO  TestCases.TC_001_Registration - ***Clicked on New Account***
17:00:18.264 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
17:01:31.347 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
17:01:34.687 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
17:01:34.703 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
17:01:35.374 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
17:01:38.451 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
17:01:38.512 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
17:01:38.570 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
17:01:38.631 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
17:01:38.684 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
17:01:38.744 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
17:01:38.804 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
17:01:38.860 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
17:01:38.919 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
17:01:38.979 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
17:01:39.038 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
17:01:39.465 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
17:01:49.980 [main] INFO  TestCases.TC_001_Registration - ***Clicked on New Account***
17:01:53.361 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
12:30:48.079 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
12:30:51.788 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
12:30:51.812 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
12:30:52.632 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
12:30:55.809 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
12:30:55.882 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
12:30:55.953 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
12:30:56.030 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
12:30:56.107 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
12:30:56.202 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
12:30:56.291 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
12:30:56.366 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
12:30:56.440 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
12:30:56.518 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
12:30:56.610 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
12:30:58.049 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
12:31:08.498 [main] INFO  TestCases.TC_001_Registration - ***Clicked on New Account***
12:31:12.105 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
